The Meyerise,97 Meyer Road,Ready to move,3500,2,2,872 sqft,S$ 4.01 psf,Condominium,Partially Furnished,2014,2h
One Jervois,7 Jervois Close,Ready to move,4300,2,2,990 sqft,S$ 4.34 psf,Condominium,Partially Furnished,2009,2h
Alexis,356 Alexandra Road,Ready to move,3000,2,1,678 sqft,S$ 4.42 psf,Condominium,Fully Furnished,2014,2h
3 Dover Road,3 Dover Road,Available from 1 Apr,1900,2,1,699 sqft,S$ 2.72 psf,HDB Apartment,Fully Furnished,,2h
SALIM ROAD,387633,Ready to move,5000,4,4,4000 sqft 4500 sqft (land),S$ 1.11 psf,Semi-Detached House,,,2h
54 Marine Terrace,54 Marine Terrace,Available from 12 Apr,2500,3,2,947 sqft,S$ 2.64 psf,HDB Apartment,Fully Furnished,,2h
Trevista,21 Lorong 3 Toa Payoh,Ready to move,3000,2,2,861 sqft,S$ 3.48 psf,Condominium,Partially Furnished,2012,2h
The Meyerise,97 Meyer Road,Ready to move,3500,2,2,872 sqft,S$ 4.01 psf,Condominium,Partially Furnished,2014,2h
One Jervois,7 Jervois Close,Ready to move,4300,2,2,990 sqft,S$ 4.34 psf,Condominium,Partially Furnished,2009,2h
Alexis,356 Alexandra Road,Ready to move,3000,2,1,678 sqft,S$ 4.42 psf,Condominium,Fully Furnished,2014,2h
3 Dover Road,3 Dover Road,Available from 1 Apr,1900,2,1,699 sqft,S$ 2.72 psf,HDB Apartment,Fully Furnished,,2h
SALIM ROAD,387633,Ready to move,5000,4,4,4000 sqft 4500 sqft (land),S$ 1.11 psf,Semi-Detached House,,,2h
City Square Residences,4 Kitchener Link,Ready to move,2800,1,1,571 sqft,S$ 4.90 psf,Condominium,,2009,2h
Zenith @ Zion,60 Zion Road,Ready to move,3900,2,2,1130 sqft,S$ 3.45 psf,Apartment,Partially Furnished,2011,2h
Echelon,9 Alexandra View,Ready to move,3800,2,2,735 sqft,S$ 5.17 psf,Condominium,Fully Furnished,2016,2h
910 Jurong West Street 91,910 Jurong West Street 91,Ready to move,2200,2,2,786 sqft,S$ 2.80 psf,HDB Apartment,Fully Furnished,,2h
Faber Hills Estate,Faber Walk,Ready to move,10000,4,3,3500 sqft 4100 sqft (land),S$ 2.44 psf,Semi-Detached House,Partially Furnished,1977,2h
Espada,48 Saint Thomas Walk,Ready to move,3000,,,377 sqft,S$ 7.96 psf,Condominium,Fully Furnished,2013,2h
? DESIGNER LANDED HOME ?,,Ready to move,7249,5,5,4930 sqft,S$ 1.47 psf,Semi-Detached House,Partially Furnished,,2h
The Poiz Residences,2 Meyappa Chettiar Road,Ready to move,2300,,,420 sqft,S$ 5.48 psf,Apartment,,2020,2h
Duo Residences,1 Fraser Street,Ready to move,3500,1,1,527 sqft,S$ 6.64 psf,Apartment,Partially Furnished,2017,2h
Centro Residences,59 Ang Mo Kio Avenue 8,Ready to move,3200,2,1,807 sqft,S$ 3.97 psf,Condominium,Partially Furnished,2014,2h
BEAUTIFULLY MAINTAINED SEMI-DETACHED HOUSE,UPPER CHANGI ROAD,Ready to move,4999,5,5,2842 sqft 2926 sqft (land),S$ 1.71 psf,Semi-Detached House,Partially Furnished,,2h
The Cascadia,921 Bukit Timah Road,Ready to move,4800,2,2,1744 sqft,S$ 2.75 psf,Condominium,Fully Furnished,2011,2h
The Rochester,33 Rochester Drive,Available from 17 Apr,3900,1,1,862 sqft,S$ 4.52 psf,Condominium,Fully Furnished,2011,2h
Buckley 18,18 Buckley Road,Available from 1 Apr,6000,3,3,1517 sqft,S$ 3.96 psf,Apartment,Partially Furnished,2009,2h
62B Strathmore Avenue,62B Strathmore Avenue,Ready to move,750,,,120 sqft,S$ 6.25 psf,HDB Apartment,Fully Furnished,,2h
Seletaris,503 Sembawang Road,Ready to move,2300,3,3,1370 sqft,S$ 1.68 psf,Condominium,Fully Furnished,2001,2h
643 Hougang Avenue 8,643 Hougang Avenue 8,Ready to move,750,,,200 sqft,S$ 3.75 psf,HDB Apartment,Fully Furnished,,2h
Avon Park,1 Youngberg Terrace,Ready to move,3500,3,3,1270 sqft,S$ 2.76 psf,Condominium,Partially Furnished,1991,2h
Amber Glades,30 Amber Gardens,Ready to move,3600,3,2,1249 sqft,S$ 2.88 psf,Condominium,,1990,2h
Skies Miltonia,Miltonia Close,Ready to move,2400,2,2,743 sqft,S$ 3.23 psf,Condominium,Partially Furnished,2016,2h
Reflections @ Keppel Bay,29 Keppel Bay View,Available from 28 Apr,4800,2,2,980 sqft,S$ 4.90 psf,Condominium,Fully Furnished,2013,2h
Jervois Lodge,32 Jervois Road,Ready to move,3200,2,2,947 sqft,S$ 3.38 psf,Condominium,Partially Furnished,1997,2h
The Sound,,Ready to move,4000,3,2,1087 sqft,S$ 3.68 psf,Condominium,Partially Furnished,2013,2h
BEAUTIFULLY MAINTAINED SEMI-DETACHED HOUSE,UPPER CHANGI ROAD,Ready to move,4999,5,5,2842 sqft 2926 sqft (land),S$ 1.71 psf,Semi-Detached House,Partially Furnished,,2h
The Cascadia,921 Bukit Timah Road,Ready to move,4800,2,2,1744 sqft,S$ 2.75 psf,Condominium,Fully Furnished,2011,2h
The Rochester,33 Rochester Drive,Available from 17 Apr,3900,1,1,862 sqft,S$ 4.52 psf,Condominium,Fully Furnished,2011,2h
Buckley 18,18 Buckley Road,Available from 1 Apr,6000,3,3,1517 sqft,S$ 3.96 psf,Apartment,Partially Furnished,2009,2h
62B Strathmore Avenue,62B Strathmore Avenue,Ready to move,750,,,120 sqft,S$ 6.25 psf,HDB Apartment,Fully Furnished,,2h
Seletaris,503 Sembawang Road,Ready to move,2300,3,3,1370 sqft,S$ 1.68 psf,Condominium,Fully Furnished,2001,2h
643 Hougang Avenue 8,643 Hougang Avenue 8,Ready to move,750,,,200 sqft,S$ 3.75 psf,HDB Apartment,Fully Furnished,,2h
Avon Park,1 Youngberg Terrace,Ready to move,3500,3,3,1270 sqft,S$ 2.76 psf,Condominium,Partially Furnished,1991,2h
Amber Glades,30 Amber Gardens,Ready to move,3600,3,2,1249 sqft,S$ 2.88 psf,Condominium,,1990,2h
Skies Miltonia,Miltonia Close,Ready to move,2400,2,2,743 sqft,S$ 3.23 psf,Condominium,Partially Furnished,2016,2h
Reflections @ Keppel Bay,29 Keppel Bay View,Available from 28 Apr,4800,2,2,980 sqft,S$ 4.90 psf,Condominium,Fully Furnished,2013,2h
Jervois Lodge,32 Jervois Road,Ready to move,3200,2,2,947 sqft,S$ 3.38 psf,Condominium,Partially Furnished,1997,2h
The Sound,,Ready to move,4000,3,2,1087 sqft,S$ 3.68 psf,Condominium,Partially Furnished,2013,2h
Mill Point,3 Zion Close,Available from 7 Mar,2600,1,1,526 sqft,S$ 4.94 psf,Apartment,Fully Furnished,2004,2h
The Centris,83 Jurong West Central 3,Ready to move,1500,1,1,150 sqft,S$ 10.00 psf,Apartment,Fully Furnished,2009,2h
Sun Plaza,30 Sembawang Drive,Ready to move,3000,3,2,1312 sqft,S$ 2.29 psf,Apartment,Fully Furnished,2001,2h
407 Hougang Avenue 10,407 Hougang Avenue 10,Ready to move,3000,4,3,1592 sqft,S$ 1.88 psf,HDB Apartment,Fully Furnished,,2h
502B Yishun Street 51,502B Yishun Street 51,Ready to move,2000,2,2,1205 sqft,S$ 1.66 psf,HDB Apartment,Fully Furnished,,2h
North Park Residences,27 Yishun Central 1,Ready to move,2800,2,2,732 sqft,S$ 3.83 psf,Apartment,Partially Furnished,2020,2h
410 Commonwealth Avenue West,410 Commonwealth Avenue West,Ready to move,1000,,,200 sqft,S$ 5.00 psf,HDB Apartment,Fully Furnished,,2h
17 Beach Road,17 Beach Road,Ready to move,2500,3,2,1000 sqft,S$ 2.50 psf,HDB Apartment,Fully Furnished,,2h
The Stellar,6 West Coast Road,Available from 30 Apr,5200,3,3,1400 sqft,S$ 3.71 psf,Condominium,Partially Furnished,2008,2h
TANAH MERAH MRT 400M COMMON ROOM,EAST VILLAGE,Ready to move,900,,,150 sqft,S$ 6.00 psf,Apartment,Fully Furnished,,2h
Simon Plaza,2 Kovan Road,Ready to move,3300,3,2,1679 sqft,S$ 1.97 psf,Apartment,Partially Furnished,1990,2h
Seletaris,501 Sembawang Road,Ready to move,3000,4,4,1636 sqft,S$ 1.83 psf,Condominium,Partially Furnished,2001,2h
102 Towner Road,102 Towner Road,Ready to move,1600,,,200 sqft,S$ 8.00 psf,HDB Apartment,Partially Furnished,,2h
Marina One Residences,23 Marina Way,Ready to move,4200,1,1,721 sqft,S$ 5.83 psf,Apartment,Fully Furnished,2017,2h
Cairnhill Road Conservation House Rare,Cairnhill Road,Ready to move,15500,4,6,6200 sqft 2600 sqft (land),S$ 5.96 psf,Conservation House,Partially Furnished,,2h
The Cosmopolitan,200 Kim Seng Road,Ready to move,6900,3,3,1399 sqft,S$ 4.93 psf,Condominium,Partially Furnished,2008,2h
Rv Residences,467 River Valley Road,Available from 15 Mar,4700,3,2,851 sqft,S$ 5.52 psf,Condominium,Partially Furnished,2014,2h
The Cosmopolitan,200 Kim Seng Road,Ready to move,6900,3,3,1399 sqft,S$ 4.93 psf,Condominium,Partially Furnished,2008,2h
Rv Residences,467 River Valley Road,Available from 15 Mar,4700,3,2,851 sqft,S$ 5.52 psf,Condominium,Partially Furnished,2014,2h
Espada,48 Saint Thomas Walk,Ready to move,2700,1,1,377 sqft,S$ 7.16 psf,Condominium,Partially Furnished,2013,2h
River Place,60 Havelock Road,Available from 2 May,7200,3,3,2303 sqft,S$ 3.13 psf,Condominium,Partially Furnished,2000,2h
Townerville,,Ready to move,4300,2,3,2100 sqft 2100 sqft (land),S$ 2.05 psf,Town House,Partially Furnished,,2h
Symphony Suites,15 Yishun Close,,2400,3,2,786 sqft,S$ 3.05 psf,Condominium,,,2h
Kingsford Waterbay,Upper Serangoon View,Ready to move,2700,3,2,883 sqft,S$ 3.06 psf,Condominium,Partially Furnished,2017,2h
Waterscape @ Cavenagh,65 Cavenagh Road,Ready to move,3700,2,2,1066 sqft,S$ 3.47 psf,Apartment,Partially Furnished,2014,2h
8 Bassein,8 Bassein Road,Ready to move,2300,1,1,440 sqft,S$ 5.23 psf,Condominium,Fully Furnished,2015,2h
The Metropolitan Condo,8 Alexandra View,Available from 10 Mar,1450,,,195 sqft,S$ 7.44 psf,Condominium,Fully Furnished,2009,2h
Midtown Residences,1189 Upper Serangoon Road,Ready to move,2450,2,2,635 sqft,S$ 3.86 psf,Condominium,Fully Furnished,2016,2h
Neptune Court,1 Marine Vista,Ready to move,3400,1,2,1636 sqft,S$ 2.08 psf,Apartment,,1975,2h
The Metz,83 Devonshire Road,Ready to move,3300,1,1,581 sqft,S$ 5.68 psf,Condominium,,2007,2h
The Orchard Residences,238 Orchard Boulevard,Ready to move,18000,4,6,2852 sqft,S$ 6.31 psf,Condominium,Partially Furnished,2010,2h
Soleil @ Sinaran,6 Sinaran Drive,Ready to move,5300,2,2,958 sqft,S$ 5.53 psf,Condominium,Partially Furnished,2012,2h
Symphony Suites,3 Yishun Close,Ready to move,1999,3,2,786 sqft,S$ 2.54 psf,Condominium,,,2h
Platinum Edge,18 Leicester Road,Ready to move,3199,3,2,1055 sqft,S$ 3.03 psf,Apartment,Fully Furnished,2007,2h
Casablanca,21 Rosewood Drive,Available from 16 Apr,2300,2,2,936 sqft,S$ 2.46 psf,Condominium,,2006,2h
Holland Mansion,112 Holland Road,Ready to move,5200,3,4,1588 sqft,S$ 3.27 psf,Condominium,Partially Furnished,2005,2h
The Centris,75 Jurong West Central 3,Ready to move,4500,3,3,1302 sqft,S$ 3.46 psf,Apartment,Fully Furnished,2009,2h
146 Gangsa Road,146 Gangsa Road,Available from 1 Apr,2000,4,2,1313 sqft,S$ 1.52 psf,HDB Apartment,Fully Furnished,,2h
Holland Mansion,112 Holland Road,Ready to move,5500,3,3,1588 sqft,S$ 3.46 psf,Condominium,Partially Furnished,2005,2h
Oasis @ Elias,68 Elias Road,Available from 1 Apr,2500,2,2,980 sqft,S$ 2.55 psf,Condominium,Fully Furnished,2012,2h
Delfi Orchard,402 Orchard Road,Ready to move,4000,2,2,1210 sqft,S$ 3.31 psf,Apartment,Fully Furnished,1985,2h
466 Pasir Ris Street 41,466 Pasir Ris Street 41,Available from 1 Apr,650,,,120 sqft,S$ 5.42 psf,HDB Apartment,Fully Furnished,,2h
37 Tanglin Halt Road,37 Tanglin Halt Road,Ready to move,380,,,150 sqft,S$ 2.53 psf,HDB Apartment,Fully Furnished,,2h
33 Marine Crescent,33 Marine Crescent,Ready to move,1900,2,2,700 sqft,S$ 2.71 psf,HDB Apartment,Fully Furnished,,2h
The Vision,81 West Coast Crescent,Ready to move,4300,3,3,1302 sqft,S$ 3.30 psf,Condominium,Partially Furnished,2015,2h
Seasons Park,491 Yio Chu Kang Road,Ready to move,5200,4,4,2885 sqft,S$ 1.80 psf,Condominium,Partially Furnished,1997,2h
Seasuites,252 Pasir Panjang Road,Available from 31 Mar,2500,1,1,667 sqft,S$ 3.75 psf,Apartment,Partially Furnished,2016,2h
Seasons Park,491 Yio Chu Kang Road,Ready to move,5200,4,4,2885 sqft,S$ 1.80 psf,Condominium,Partially Furnished,1997,2h
Seasuites,252 Pasir Panjang Road,Available from 31 Mar,2500,1,1,667 sqft,S$ 3.75 psf,Apartment,Partially Furnished,2016,2h
Serangoon Garden Cluster @ Brighton Crest,Brighton Cres,Ready to move,5500,4,4,2887 sqft 2887 sqft (land),S$ 1.91 psf,Cluster House,Partially Furnished,,2h
Katong Regency,13 Tanjong Katong Road,Available from 16 Mar,2800,1,1,549 sqft,S$ 5.10 psf,Condominium,Fully Furnished,2015,2h
Kovan Regency,6 Kovan Rise,Available from 10 Apr,3000,3,2,893 sqft,S$ 3.36 psf,Condominium,Fully Furnished,2016,2h
18 Woodsville,18 Woodsville Close,Ready to move,2200,1,1,495 sqft,S$ 4.44 psf,Condominium,Fully Furnished,2015,2h
Signature Park,56 Toh Tuck Road,,2500,2,2,1089 sqft,S$ 2.30 psf,Condominium,Fully Furnished,1998,2h
Kovan Residences,1 Kovan Road,Ready to move,3000,2,2,893 sqft,S$ 3.36 psf,Condominium,Fully Furnished,2011,2h
Kovan Residences,1 Kovan Road,Available from 1 Apr,4200,3,3,1259 sqft,S$ 3.34 psf,Condominium,Partially Furnished,2011,2h
Brighton Crest,31A Brighton Crescent,Ready to move,5500,4,4,2886 sqft,S$ 1.91 psf,Cluster House,Partially Furnished,2003,2h
Kovan Regency,2 Kovan Rise,Available from 16 Apr,2300,1,1,506 sqft,S$ 4.55 psf,Condominium,Fully Furnished,2016,2h
City Gate,371 Beach Road,Ready to move,3198,2,1,570 sqft,S$ 5.61 psf,Apartment,,2019,2h
701 West Coast Road,701 West Coast Road,Ready to move,780,,,764 sqft,S$ 1.02 psf,HDB Apartment,Fully Furnished,,2h
211 Bishan Street 23,211 Bishan Street 23,Ready to move,2400,3,2,1119 sqft,S$ 2.14 psf,HDB Apartment,Fully Furnished,,2h
Echelon,9 Alexandra View,,3750,2,2,732 sqft,S$ 5.12 psf,Condominium,Fully Furnished,2016,2h
Kingsford Waterbay,64 Upper Serangoon View,Available from 1 Apr,2200,2,1,614 sqft,S$ 3.58 psf,Apartment,Partially Furnished,2017,2h
Kingsford Waterbay,72 Upper Serangoon View,Ready to move,2300,2,2,689 sqft,S$ 3.34 psf,Apartment,Partially Furnished,2017,2h
634 Ang Mo Kio Avenue 6,634 Ang Mo Kio Avenue 6,,750,,,150 sqft,S$ 5.00 psf,HDB Apartment,Fully Furnished,,2h
First Avenue,First Avenue,Ready to move,18000,5,6,5500 sqft 20000 sqft (land),S$ 0.90 psf,Good Class Bungalow,Partially Furnished,,2h
Prestige Heights,348 Balestier Road,Ready to move,3500,3,2,861 sqft,S$ 4.07 psf,Condominium,Fully Furnished,2013,2h
New Room Buona Vista / Dover,New Common Rm @ Buona Vista/Dover,Ready to move,850,,,100 sqft,S$ 8.50 psf,HDB Apartment,Fully Furnished,,2h
lorong 4 geylang,lorong 4 geylang,Ready to move,2000,2,2,980 sqft,S$ 2.04 psf,Apartment,Fully Furnished,,2h
Oue Twin Peaks,33 Leonie Hill Road,Ready to move,9000,3,3,1604 sqft,S$ 5.61 psf,Condominium,Partially Furnished,2014,2h
City Gate,371 Beach Road,Ready to move,10000,4,3,1815 sqft,S$ 5.51 psf,Apartment,Partially Furnished,2019,2h
City Gate,371 Beach Road,Ready to move,2600,1,1,450 sqft,S$ 5.78 psf,Apartment,Partially Furnished,2019,2h
City Gate,371 Beach Road,Ready to move,2200,,,260 sqft,S$ 8.46 psf,Apartment,Partially Furnished,2019,2h
Oue Twin Peaks,33 Leonie Hill Road,Available from 1 Apr,8000,2,2,1055 sqft,S$ 7.58 psf,Condominium,Partially Furnished,2014,2h
Rocca Balestier,221 Balestier Road,Ready to move,2900,3,2,1109 sqft,S$ 2.61 psf,Condominium,Fully Furnished,2005,2h
Strata,1 Essex Road,Ready to move,4200,2,2,1066 sqft,S$ 3.94 psf,Condominium,Partially Furnished,2006,2h
The Ansley,33 Mandalay Road,Ready to move,2300,,,571 sqft,S$ 4.03 psf,Condominium,Partially Furnished,2004,2h
Strata,1 Essex Road,Ready to move,4200,2,2,1066 sqft,S$ 3.94 psf,Condominium,Partially Furnished,2006,2h
The Ansley,33 Mandalay Road,Ready to move,2300,,,571 sqft,S$ 4.03 psf,Condominium,Partially Furnished,2004,2h
Vue 8 Residence,85 Pasir Ris Heights,,13000,3,3,1098 sqft,S$ 11.84 psf,Condominium,,2017,2h
178 Toa Payoh Central,178 Toa Payoh Central,Available from 1 Apr,1700,2,1,721 sqft,S$ 2.36 psf,HDB Apartment,Fully Furnished,,2h
Seasons Park,491 Yio Chu Kang Road,Ready to move,5200,4,4,2885 sqft,S$ 1.80 psf,Condominium,Partially Furnished,1997,2h
The Modules (SOHO),387 Joo Chiat Road,Available from 22 Apr,1850,1,1,398 sqft,S$ 4.65 psf,Apartment,Partially Furnished,2010,2h
The Wharf Residence,7 Tong Watt Road,Ready to move,5500,2,2,1033 sqft,S$ 5.32 psf,Condominium,Partially Furnished,2013,2h
Watten Rise,Watten Rise,Available from 31 Mar,7000,4,4,2900 sqft 3600 sqft (land),S$ 1.94 psf,Semi-Detached House,Partially Furnished,,2h
Robinson Suites,50 Robinson Road,Ready to move,3100,1,1,506 sqft,S$ 6.13 psf,Condominium,,2016,2h
Martin Place Residences,2 Martin Place,Ready to move,3100,1,1,645 sqft,S$ 4.81 psf,Apartment,,2011,2h
Prestige Heights,348 Balestier Road,Ready to move,2000,,,334 sqft,S$ 5.99 psf,Apartment,,2013,2h
Principal Garden,93 95 9799 Prince Charles Crescent,Ready to move,3500,2,2,807 sqft,S$ 4.34 psf,Condominium,Partially Furnished,2019,2h
Spottiswoode Residences,48 Spottiswoode Park Road,Ready to move,6500,3,2,1400 sqft,S$ 4.64 psf,Condominium,Partially Furnished,2014,2h
One Tree Hill Residence,1A One Tree Hill,Available from 25 Mar,4800,3,3,1130 sqft,S$ 4.25 psf,Condominium,Partially Furnished,2008,2h
257 Bishan Street 22,257 Bishan Street 22,Ready to move,2600,3,2,1550 sqft,S$ 1.68 psf,HDB Apartment,Partially Furnished,,2h
Alex Residences,Alexandra View,Ready to move,2750,1,1,506 sqft,S$ 5.43 psf,Apartment,Partially Furnished,2017,2h
Kasturina Lodge,20 Kay Poh Road,Ready to move,2800,2,2,800 sqft,S$ 3.50 psf,Apartment,Fully Furnished,1999,2h
The Azure,201 Ocean Drive,Available from 15 Apr,6800,3,3,1700 sqft,S$ 4.00 psf,Condominium,Partially Furnished,2008,2h
628 Hougang Avenue 8,628 Hougang Avenue 8,Ready to move,700,,,150 sqft,S$ 4.67 psf,HDB Apartment,Fully Furnished,,2h
Three Three Robin,33 Robin Road,Ready to move,6000,3,4,1636 sqft,S$ 3.67 psf,Apartment,Partially Furnished,2006,2h
The Huntington,190 Moulmein Road,Ready to move,4000,3,2,1151 sqft,S$ 3.48 psf,Condominium,Fully Furnished,2000,2h
The Oceanfront @ Sentosa Cove,295 Ocean Drive,Ready to move,6500,3,3,1711 sqft,S$ 3.80 psf,Condominium,Partially Furnished,2010,2h
River Place,60 Havelock Road,Available from 30 Mar,3500,1,1,800 sqft,S$ 4.38 psf,Condominium,Fully Furnished,2000,2h
Rochelle @ Newton,188 Keng Lee Road,Ready to move,7300,4,3,1863 sqft,S$ 3.92 psf,Condominium,Fully Furnished,2013,2h
Eight Riversuites,8 Whampoa East,Available from 16 Apr,2800,2,2,700 sqft,S$ 4.00 psf,Condominium,Partially Furnished,2016,2h
Meraprime,301 Jalan Bukit Ho Swee,Ready to move,4600,2,2,840 sqft,S$ 5.48 psf,Condominium,Fully Furnished,2006,2h
UP@Robertson Quay,92 Robertson Quay,Ready to move,3600,2,1,530 sqft,S$ 6.79 psf,Condominium,Fully Furnished,2016,2h
One Shenton,1 Shenton Way,Ready to move,44888,5,6,9138 sqft,S$ 4.91 psf,Condominium,Partially Furnished,2011,2h
Morley Road,Morley Road,Ready to move,17000,5,5,8000 sqft 15000 sqft (land),S$ 1.13 psf,Good Class Bungalow,Partially Furnished,,2h
Watten Estate Condo,36 Shelford Road,Ready to move,2800,3,2,1001 sqft,S$ 2.80 psf,Condominium,,1983,2h
Morley Road,Morley Road,Ready to move,17000,5,5,8000 sqft 15000 sqft (land),S$ 1.13 psf,Good Class Bungalow,Partially Furnished,,2h
Watten Estate Condo,36 Shelford Road,Ready to move,2800,3,2,1001 sqft,S$ 2.80 psf,Condominium,,1983,2h
LOVELY NEWLY RENOVATED BUNGALOW FOR RENT --- Raffles Park GCBA,Cassia,Ready to move,18000,6,3,5000 sqft 10100 sqft (land),S$ 1.78 psf,Detached House,Partially Furnished,,2h
Marine Blue,95 Marine Parade Road,Ready to move,3200,2,1,732 sqft,S$ 4.37 psf,Condominium,Partially Furnished,2017,2h
The Lanai,140 Hillview Avenue,Ready to move,4400,4,3,1302 sqft,S$ 3.38 psf,Condominium,Partially Furnished,2014,2h
Summer Scent,11 Kang Choo Bin Road,Ready to move,2800,3,2,1098 sqft,S$ 2.55 psf,Condominium,Fully Furnished,2013,2h
405 Bedok North Avenue 3,405 Bedok North Avenue 3,,3000,3,2,1300 sqft,S$ 2.31 psf,HDB Apartment,Partially Furnished,,2h
Eight Riversuites,8 Whampoa East,Ready to move,2950,2,2,700 sqft,S$ 4.21 psf,Condominium,Partially Furnished,2016,2h
467 Segar Road,467 Segar Road,Ready to move,1900,3,2,969 sqft,S$ 1.96 psf,HDB Apartment,Fully Furnished,,2h
Glendale Park,25A Hillview Avenue,Ready to move,3200,3,3,1249 sqft,S$ 2.56 psf,Condominium,Unfurnished,2000,2h
Four Seasons Park,8 Cuscaden Walk,Available from 15 Mar,12000,4,4,2874 sqft,S$ 4.18 psf,Condominium,,1994,2h
The Jade,9 Bukit Batok Central Link,Ready to move,4300,4,3,1615 sqft,S$ 2.66 psf,Condominium,Unfurnished,2004,2h
Euhabitat,272 Jalan Eunos,Ready to move,5800,4,3,3378 sqft,S$ 1.72 psf,Cluster House,,,2h
Mi Casa,315 Choa Chu Kang Avenue 3,Ready to move,3150,4,3,1357 sqft,S$ 2.32 psf,Condominium,Fully Furnished,2013,2h
346 Ang Mo Kio Avenue 3,346 Ang Mo Kio Avenue 3,Ready to move,2500,3,2,1055 sqft,S$ 2.37 psf,HDB Apartment,Fully Furnished,,2h
44 Sims Drive,44 Sims Drive,Ready to move,750,1,1,200 sqft,S$ 3.75 psf,HDB Apartment,Fully Furnished,,2h
The Parc Condo,1 West Coast Walk,,4200,3,2,1302 sqft,S$ 3.23 psf,Condominium,,2011,2h
Esparina Residences,113 Compassvale Bow,Ready to move,2750,2,2,829 sqft,S$ 3.32 psf,Executive Condominium,Fully Furnished,2014,2h
648 Ang Mo Kio Avenue 5,648 Ang Mo Kio Avenue 5,Ready to move,2400,3,2,1300 sqft,S$ 1.85 psf,HDB Apartment,Fully Furnished,,2h
Oue Twin Peaks,33 Leonie Hill Road,,3488,1,1,549 sqft,S$ 6.35 psf,Condominium,Fully Furnished,2014,2h
112 Mcnair Road,112 Mcnair Road,Ready to move,2700,3,2,1459 sqft,S$ 1.85 psf,HDB Apartment,Fully Furnished,,2h
45 Telok Blangah Drive,45 Telok Blangah Drive,Ready to move,1700,1,1,484 sqft,S$ 3.51 psf,HDB Apartment,Fully Furnished,,2h
143 Mei Ling Street,143 Mei Ling Street,Ready to move,2800,3,2,1173 sqft,S$ 2.39 psf,HDB Apartment,Partially Furnished,,2h
Stellar Rv,408 River Valley Road,Ready to move,3200,2,2,969 sqft,S$ 3.30 psf,Condominium,Partially Furnished,2015,2h
Emerald Park,2 Indus Road,Available from 20 Mar,3000,2,2,990 sqft,S$ 3.03 psf,Condominium,Fully Furnished,1993,2h
Botannia,31B West Coast Park,Available from 21 Mar,3700,3,3,1281 sqft,S$ 2.89 psf,Condominium,,2009,2h
2 Tanjong Pagar Plaza,2 Tanjong Pagar Plaza,Available from 1 Apr,2500,2,1,635 sqft,S$ 3.94 psf,HDB Apartment,Fully Furnished,,2h
